name	ticker	date	m_cat	prospectus_benchmark	fund_obj	ar_net_expense	tot_ret_1mo	tot_ret_3mo	tot_ret_ytd	tot_ret_12mo	tot_ret_3yr	tot_ret_5yr	tot_ret_10yr	tot_ret_15yr	standard_dev_5yr	%_cyclical	%_sensitive	%_defensive	%_basic_materials	%_consumer_cyclical	%_fin_services	%_real_estate	%_communication_services	%_energy	Industrials	Technology	%_consumer_defensive	%_healthcare	%_utilities	%_africa_middle_east	%_americas	%_north_america	%_latin_america	%_asia_developed	%_asia_emerging	%_australasia	%_united_kingdom	%_europe_developed	%_europe_emerging	%_greater_asia	%_greater_europe	%_japan	%_mkt_maturity_dev	%_mkt_maturity_emerging	avg_maturity	avg_duration	avg_credit_quality	avg_weighted_coupon	aaa	aa	a	bbb	bb	b	below_b	%_government	%_corporate	%_securitized	%_municipal	%_cash	%_derivative	%_large_blend	%_large_growth	%_large_value	%_mid_blend	%_mid_growth	%_mid_value	%_small_blend	%_small_growth	%_small_value	%_bonds_long	%_bonds_short	%_cash_long	%_cash_short	%_us_stocks_long	%_us_stocks_short	%_non_us_stocks_long	%_non_us_stocks_short	m_risk_score
iShares MSCI EAFE ETF	EFA	2024-09-06	US Fund Foreign Large Blend	MSCI EAFE NR USD	Foreign Stock	0.32	-1.81	-0.18	5.79	11.34	2.95	6.56	4.32	6.73	18.24	38.55	34.95	26.49	6.41	9.95	19.92	2.28	4.81	3.85	16.70	9.60	8.72	14.55	3.22	0.66	0.68	0.68	0.00	3.03	0.07	7.53	14.49	50.74	0.02	33.41	65.91	22.52	99.91	0.09	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	93.07	6.93	32	30	28	4	3	3	0	0	0	0.00	0.00	0.74	0.18	0.68	0.00	98.53	0.00	73
iShares MSCI EAFE Growth ETF	EFG	2024-09-06	US Fund Foreign Large Growth	MSCI EAFE Growth NR USD	Foreign Stock	0.35	-0.60	-0.59	6.54	8.89	-0.08	6.29	5.18	7.36	18.68	30.73	40.46	28.81	5.49	13.85	10.50	0.89	3.18	0.14	19.89	17.25	8.79	19.44	0.59	0.51	0.90	0.90	0.00	3.05	0.00	7.95	12.51	52.04	0.04	33.99	65.10	22.98	99.96	0.04	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	93.36	6.64	29	58	6	2	5	0	0	0	0	0.00	0.00	0.43	0.02	0.88	0.00	98.71	0.00	73
iShares MSCI EAFE Small-Cap ETF	SCZ	2024-09-06	US Fund Foreign Small/Mid Blend	MSCI EAFE Small Cap NR USD	Small Company	0.39	-3.10	-1.26	1.02	7.48	-3.30	4.13	4.21	7.80	20.31	44.89	40.24	14.87	8.08	14.05	11.88	10.87	3.86	2.99	23.89	9.50	5.83	6.57	2.48	2.65	0.71	0.71	0.00	3.36	0.70	9.62	14.55	31.70	0.00	50.39	48.89	35.84	99.15	0.85	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	0	1	1	29	18	22	14	7	9	0.00	0.00	0.57	0.01	0.86	0.00	98.18	0.00	71
iShares MSCI EAFE Value ETF	EFV	2024-09-06	US Fund Foreign Large Value	MSCI EAFE Value NR USD	Foreign Stock	0.34	-3.02	0.32	4.74	13.61	5.58	6.13	2.91	5.55	19.46	46.40	29.45	24.15	7.33	6.03	29.35	3.68	6.46	7.57	13.51	1.91	8.66	9.65	5.84	0.80	0.45	0.45	0.00	3.01	0.14	7.17	16.49	49.42	0.00	32.85	66.70	22.25	99.87	0.14	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	36	3	49	6	1	5	0	0	0	0.00	0.00	0.75	0.00	0.46	0.00	98.31	0.00	75
iShares MSCI Emerging Markets Asia ETF	EEMA	2024-09-06	US Fund Pacific/Asia ex-Japan Stk	MSCI EM Asia Custom Capped NR USD	Pacific Stock	0.49	3.28	6.79	10.02	12.73	-5.83	3.74	3.92	-	19.28	38.54	50.31	11.15	4.88	13.66	18.83	1.16	9.64	4.48	7.31	28.89	4.53	4.18	2.45	0.00	0.20	0.20	0.00	37.15	62.65	0.00	0.00	0.00	0.00	99.80	0.00	0.00	37.36	62.65	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	94.94	5.06	29	48	21	1	0	1	0	0	0	0.00	0.00	1.55	1.26	0.21	0.00	99.51	0.00	69
iShares MSCI Emerging Markets ETF	EEM	2024-09-06	US Fund Diversified Emerging Mkts	MSCI EM NR USD	Diversified Emerging Markets	0.70	2.62	4.39	6.65	10.49	-6.01	2.15	2.06	4.00	18.66	42.87	45.47	11.66	6.55	11.47	23.39	1.46	9.37	5.32	7.04	23.74	4.92	3.78	2.96	9.86	8.14	0.26	7.87	30.25	49.13	0.00	0.00	0.53	2.09	79.38	12.49	0.00	33.85	66.15	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	92.49	7.51	28	42	21	4	2	3	0	0	0	0.00	0.00	1.01	0.87	0.28	0.00	99.58	0.00	70
iShares MSCI Emerging Mkts ex China ETF	EMXC	2024-09-06	US Fund Diversified Emerging Mkts	MSCI EM ex China NR USD	Diversified Emerging Markets	0.25	4.94	3.71	7.76	16.24	0.54	5.94	-	-	20.05	40.25	47.95	11.80	7.66	6.06	25.20	1.33	5.20	5.65	7.68	29.42	5.04	3.63	3.13	12.93	10.58	0.25	10.34	39.15	33.91	0.00	0.00	0.69	2.75	73.06	16.36	0.00	43.74	56.26	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	90.25	9.75	32	43	15	4	2	4	0	0	0	0.00	0.00	1.16	0.97	0.25	0.00	99.56	0.00	71
iShares MSCI Eurozone ETF	EZU	2024-09-06	US Fund Europe Stock	MSCI EMU NR USD	Europe Stock	0.50	-4.18	-2.38	5.07	9.61	2.68	6.98	4.12	6.09	22.54	38.32	41.30	20.37	5.44	12.36	18.96	1.55	5.12	4.02	17.82	14.34	7.20	7.77	5.40	0.00	1.22	1.22	0.00	0.00	0.00	0.00	0.30	98.42	0.07	0.00	98.78	0.00	99.94	0.07	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	27	31	30	4	3	5	0	0	0	0.00	0.00	0.53	0.29	1.25	0.00	98.52	0.00	89
iShares MSCI Global Energy Producers ETF	FILL	2024-09-06	US Fund Equity Energy	MSCI ACWI Select Energy Prod IMI NR USD	Specialty - Natural Resources	0.39	-3.13	-0.48	9.51	16.82	20.30	10.00	2.72	-	30.03	0.13	99.87	0.00	0.13	0.00	0.00	0.00	0.00	99.87	0.00	0.00	0.00	0.00	0.00	1.50	64.32	61.82	2.50	0.35	8.45	2.16	11.58	9.49	0.65	12.47	23.21	1.48	87.08	12.92	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	12	1	65	4	1	11	1	0	5	0.00	0.00	0.70	0.00	52.07	0.00	47.24	0.00	104
iShares MSCI Global Gold Miners ETF	RING	2024-09-06	US Fund Equity Precious Metals	MSCI ACWI Select Gold Miners IMI NR USD	Specialty - Precious Metals	0.39	-2.21	9.93	13.10	20.70	1.62	7.99	3.57	-	36.19	100.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.37	76.39	75.23	1.16	0.00	5.04	4.69	0.78	0.00	0.71	9.76	13.85	0.00	80.72	19.28	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	72.25	27.75	0	34	22	18	9	3	10	3	1	0.00	0.00	0.14	0.01	23.05	0.00	76.82	0.00	142
iShares MSCI Global Mtls&Mng Prdcrs ETF	PICK	2024-09-06	US Fund Natural Resources	MSCI ACWI Select Mt&MP Ex G&S IMI NR USD	Specialty - Precious Metals	0.39	-6.34	-0.88	-4.03	4.66	2.15	11.20	4.94	-	29.56	96.76	3.24	0.00	96.67	0.00	0.09	0.00	0.00	0.02	3.22	0.00	0.00	0.00	0.00	3.06	33.06	26.93	6.14	4.35	10.08	22.09	11.64	8.92	1.09	42.24	24.70	5.42	79.74	20.26	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	87.60	12.40	6	3	58	4	4	14	3	3	5	0.00	0.00	0.68	0.18	20.72	0.00	78.78	0.00	95
iShares MSCI Global Silver&Mtls Mnrs ETF	SLVP	2024-09-06	US Fund Equity Precious Metals	MSCI ACWI Select Silver Miner IMI NR USD	Specialty - Precious Metals	0.39	-11.52	13.48	13.26	19.98	-8.52	5.99	0.39	-	43.22	96.52	3.48	0.00	96.52	0.00	0.00	0.00	0.00	0.00	3.48	0.00	0.00	0.00	0.00	1.54	94.52	85.39	9.12	0.00	0.00	0.00	0.47	0.00	0.00	3.48	2.01	3.46	89.34	10.66	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	0	10	8	34	1	0	23	25	1	0.00	0.00	0.20	0.00	18.01	0.00	81.79	0.00	172
iShares MSCI Global Sust Dev Goals ETF	SDG	2024-09-06	US Fund Global Large-Stock Blend	MSCI ACWI Sustainable Impact NR USD	Growth and Income	0.49	-4.55	-3.64	-6.42	-3.12	-7.15	7.11	-	-	17.76	22.96	34.54	42.50	1.85	4.77	0.36	15.98	1.07	0.00	18.85	14.62	20.08	19.88	2.55	0.24	29.86	27.82	2.04	15.72	14.00	1.17	5.65	20.14	0.18	43.93	26.21	12.88	83.54	16.46	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	56.16	43.84	22	23	20	13	11	10	0	0	0	0.00	0.00	0.61	0.00	19.39	0.00	80.00	0.00	66
iShares MSCI Hong Kong ETF	EWH	2024-09-06	US Fund China Region	MSCI Hong Kong 25-50 NR USD	Pacific Stock	0.50	-6.48	0.55	-9.98	-17.01	-14.07	-7.17	-0.03	3.86	21.73	67.25	18.22	14.53	0.00	4.64	43.45	19.16	1.87	0.00	16.35	0.00	2.26	0.00	12.27	0.00	0.00	0.00	0.00	92.66	4.04	0.00	3.30	0.00	0.00	96.70	3.30	0.00	95.96	4.04	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	35	2	61	0	0	2	0	0	0	0.00	0.00	0.28	0.00	0.00	0.00	99.72	0.00	75
iShares MSCI India ETF	INDA	2024-09-06	US Fund India Equity	MSCI India NR USD	Pacific Stock	0.65	5.23	8.12	14.28	27.64	10.39	11.13	7.83	-	19.27	46.26	36.06	17.68	7.51	12.31	24.95	1.49	4.24	10.31	9.46	12.05	7.40	5.45	4.83	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	100.00	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	95.40	4.60	39	57	4	0	0	0	0	0	0	0.00	0.00	4.37	4.30	0.00	0.00	99.94	0.00	54
iShares MSCI India Small-Cap ETF	SMIN	2024-09-06	US Fund India Equity	MSCI India Small NR USD	Small Company	0.80	7.35	15.10	15.89	39.69	14.65	16.93	10.94	-	23.69	45.26	36.29	18.45	12.69	14.04	15.54	2.99	2.18	0.97	24.65	8.49	3.82	11.25	3.39	0.21	0.00	0.00	0.00	0.00	99.79	0.00	0.00	0.00	0.00	99.79	0.21	0.00	0.21	99.79	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	99.57	0.43	6	18	0	20	49	3	1	2	0	0.00	0.00	5.25	5.32	0.00	0.00	99.94	0.00	66
iShares MSCI Intl Small-Cap Mltfct ETF	ISCF	2024-09-06	US Fund Foreign Small/Mid Blend	STOXX Intern Small-Cap Eq Factor NR USD	Small Company	0.28	-2.98	-0.57	2.07	8.79	-0.59	5.59	-	-	19.37	48.18	39.66	12.16	8.76	15.99	13.46	9.96	3.78	4.02	20.42	11.45	4.38	4.61	3.16	1.47	10.22	10.19	0.03	2.67	1.04	7.50	14.87	35.83	0.15	37.47	52.31	26.05	98.49	1.51	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	96.53	3.47	0	0	0	20	14	17	19	10	21	0.00	0.00	0.54	0.06	0.44	0.00	99.08	0.00	74
iShares MSCI Japan ETF	EWJ	2024-09-06	US Fund Japan Stock	MSCI Japan NR USD	Pacific Stock	0.50	-0.32	-3.64	7.19	12.63	2.15	6.35	5.22	5.72	16.02	36.21	48.42	15.37	3.91	15.07	14.56	2.67	9.14	0.91	21.53	16.84	5.26	8.95	1.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	99.67	100.00	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	39	29	27	3	1	1	0	0	0	0.00	0.00	0.27	0.03	0.00	0.00	99.76	0.00	73
iShares MSCI Japan Small-Cap ETF	SCJ	2024-09-06	US Fund Japan Stock	MSCI Japan Small Cap NR USD	Pacific Stock	0.50	-1.28	-4.36	-0.43	6.29	-2.13	2.75	4.36	5.94	15.17	43.11	40.78	16.11	9.77	16.64	7.39	9.30	3.36	0.72	27.58	9.12	7.66	6.17	2.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	99.61	100.00	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	0	1	1	32	21	26	10	5	6	0.00	0.00	0.36	0.02	0.00	0.00	99.66	0.00	67
iShares MSCI Japan Value ETF	EWJV	2024-09-06	US Fund Japan Stock	MSCI Japan Value GR USD	Pacific Stock	0.15	-1.48	-2.72	10.78	20.55	7.95	8.67	-	-	15.51	46.29	42.93	10.78	2.73	13.81	24.63	5.11	9.08	1.85	26.30	5.70	5.08	3.58	2.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	99.67	100.00	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	45	6	42	5	0	2	0	0	0	0.00	0.00	0.30	0.01	0.00	0.00	99.71	0.00	71
iShares MSCI Pacific ex Japan ETF	EPP	2024-09-06	US Fund Pacific/Asia ex-Japan Stk	MSCI Pacific Ex Japan NR USD	Pacific Stock	0.48	-0.35	2.09	0.68	5.85	-1.69	1.95	2.78	6.30	20.97	69.72	15.42	14.86	12.71	6.92	41.70	8.39	3.20	2.88	7.46	1.88	3.62	7.85	3.39	0.00	0.87	0.87	0.00	28.08	0.62	69.19	0.56	0.00	0.00	98.58	0.56	0.00	99.38	0.62	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	86.65	13.35	33	18	43	3	1	2	0	0	0	0.00	0.00	0.77	0.02	0.79	0.00	98.45	0.00	72
iShares MSCI United Kingdom ETF	EWU	2024-09-06	US Fund Miscellaneous Region	MSCI United Kingdom NR USD	Europe Stock	0.50	-2.08	3.96	7.60	12.46	6.40	5.30	2.11	5.83	18.87	31.66	29.35	38.99	7.27	5.54	18.03	0.82	3.11	12.37	13.12	0.75	17.92	16.37	4.70	0.00	0.40	0.40	0.00	0.00	0.00	0.00	97.21	2.39	0.00	0.00	99.60	0.00	100.00	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	27	24	37	5	4	3	0	0	0	0.00	0.00	0.99	0.00	0.38	0.00	97.07	0.00	63
iShares MSCI World ETF	URTH	2024-09-06	US Fund Global Large-Stock Blend	MSCI World NR USD	World Stock	0.24	2.05	2.61	11.78	20.41	7.00	12.01	9.38	-	17.91	30.93	47.16	21.92	3.45	9.84	15.27	2.37	7.51	4.09	10.28	25.27	6.67	12.55	2.70	0.16	74.30	74.17	0.14	0.80	0.02	1.90	3.82	13.21	0.01	8.50	17.19	5.76	99.84	0.16	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	37	21	24	8	4	5	0	0	0	0.00	0.00	0.40	0.00	70.99	0.00	28.55	0.00	70
iShares U.S. Equity Factor ETF	LRGF	2024-09-06	US Fund Large Blend	STOXX U.S. Equity Factor TR USD	Growth and Income	0.08	3.08	3.77	16.01	26.80	10.85	13.66	-	-	17.94	28.45	48.57	22.98	2.12	11.85	12.54	1.95	6.10	3.40	6.29	32.78	6.85	13.11	3.02	0.43	99.45	98.20	1.25	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.55	0.00	99.03	0.97	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	31	15	21	9	6	10	2	3	3	0.00	0.00	0.23	0.00	97.97	0.00	1.80	0.00	73
iShares USD Green Bond ETF	BGRN	2024-09-06	US Fund Global Bond-USD Hedged	Bloomberg MSCI USD Green Bd Sel TR USD	Worldwide Bond	0.16	0.51	0.25	0.15	3.89	-2.52	-0.43	-	-	6.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.43	-	-	7.40	5.07	A	3.50	16.20	11.51	39.34	32.95	0.00	0.00	0.00	27.57	68.52	0.32	0.36	3.24	0.00	-	-	-	-	-	-	-	-	-	96.47	0.00	3.89	0.36	0.00	0.00	0.00	0.00	14
iShares ESG MSCI EM Leaders ETF	LDEM	2024-09-06	US Fund Diversified Emerging Mkts	MSCI EM Ext ESG Ld 5% Issuer Cpd USD	Diversified Emerging Markets	0.17	1.69	3.71	3.38	4.11	-8.86	-	-	-	-	47.55	40.15	12.30	6.01	13.21	26.54	1.79	14.50	5.58	7.95	12.12	5.21	4.02	3.06	12.00	8.35	0.06	8.29	22.88	53.66	0.00	0.00	0.77	2.34	76.54	15.10	0.00	27.19	72.81	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	80.98	19.02	32	36	24	4	1	3	0	0	0	0.00	0.00	1.15	0.95	0.05	0.00	99.75	0.00	69
S&P 500 TR USD	-	2024-09-06	-	-	-	-	3.59	4.28	15.29	24.56	10.01	15.05	12.86	14.82	18.04	27.08	52.18	20.74	2.00	9.85	12.87	2.35	8.76	3.53	7.56	32.33	5.99	12.20	2.55	0.00	99.37	99.37	0.00	0.04	0.00	0.00	0.10	0.49	0.00	0.04	0.59	0.00	100.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	99.37	0.00	0.63	0.00	-
